County,Pop,Dem,Rep,Wasted
55001,18643,5806,3974,1832
55003,16866,5818,2634,3184
55005,44963,12078,10457,1621
55007,15013,5972,3365,2607
55009,226778,67316,55903,11413
55011,13804,3949,2926,1023
55013,15674,4337,4200,137
55015,40631,13333,12784,549
55017,55195,16240,13493,2747
55019,33557,7453,6382,1071
55021,52468,16661,12193,4468
55023,17243,4987,2830,2157
55025,426526,205984,73065,132919
55027,85897,19183,23015,3832
55029,27961,10142,7112,3030
55031,43287,15830,7835,7995
55033,39858,13002,9566,3436
55035,93142,33146,20959,12187
55037,5088,1134,1512,378
55039,97296,23463,28164,4701
55041,10024,2673,1963,710
55043,49597,14875,9068,5807
55045,33647,11502,6730,4772
55047,19105,4000,5393,1393
55049,22780,7992,3833,4159
55051,6861,1914,1464,450
55053,19100,5572,3552,2020
55055,74021,21443,21092,351
55057,24316,6186,5148,1038
55059,149577,45836,31609,14227
55061,20187,5902,4711,1191
55063,107120,38523,23700,14823
55065,16137,4732,2984,1748
55067,20740,5182,5081,101
55069,29641,8424,6519,1905
55071,82887,22428,19234,3194
55073,125834,36367,30345,6022
55075,43384,11195,9726,1469
55077,15832,4068,3654,414
55078,4562,1257,185,1072
55079,940164,319819,149445,170374
55081,40899,10199,8667,1532
55083,35634,9927,8755,1172
55085,36776,11907,9630,2277
55087,160971,50209,39563,10646
55089,82317,20579,32172,11593
55091,7213,2102,1616,486
55093,36804,11803,9812,1991
55095,41319,10876,11282,406
55097,67182,24817,13810,11007
55099,15822,4559,3461,1098
55101,188831,53408,45954,7454
55103,17924,5041,3298,1743
55105,152307,50529,27364,23165
55107,15347,3855,3253,602
55109,63155,21177,22837,1660
55111,55225,18617,11562,7055
55113,16196,4765,4199,566
55115,40664,10259,9538,721
55117,112646,30395,30801,406
55119,19680,4563,4586,23
55121,27010,8321,4808,3513
55123,28056,8463,5367,3096
55125,21033,6491,7055,564
55127,93759,24177,25485,1308
55129,16036,4693,4303,390
55131,117493,25719,47729,22010
55133,360767,85339,145152,59813
55135,51731,12952,12232,720
55137,23154,5868,5770,98
55139,156763,48167,37946,10221
55141,75555,21710,16581,5129
